statistic,actual,perm_q025,perm_q975,p_ri,nperm
shock,-0.007337765525125986,-0.009080322765447298,0.008004907706050533,0.084,1000
pause,0.006021990805885724,-0.008839720286674213,0.007572169039033594,0.158,1000
spread (pause - shock),0.01335975633101171,-0.01567793450278443,0.014808118848940299,0.097,1000
