spec,N,R2,nclust,z_imp_intensity,z_imp_intensity_t,Intercept,Intercept_t,z_size,z_size_t,z_beta,z_beta_t,z_cogs_int,z_cogs_int_t,z_lev,z_lev_t,z_bm,z_bm_t,manuf,manuf_t
(1),4229,0.002730742451410806,73,-0.004411692056313428,-0.8629345970158091,-0.02376324460635741,-5.141171870973911,,,,,,,,,,,,
(2),4228,0.311083147848668,73,0.004887237513824628,1.3445409373169692,-0.023667276003127503,-5.285998859381118,0.014567776297725073,7.1365070647395505,-0.0451279748093318,-15.30210264525573,,,,,,,,
(3),3885,0.3025196245541001,73,0.0060219908058857345,1.7829923810376604,-0.02280190165865903,-5.467995832870815,0.013551632069467924,6.627334003775415,-0.04418192556128825,-16.356686340873857,-0.002163715352953752,-1.0126349448678216,-0.0005233504919597432,-0.22454010310638062,-0.003636365241654705,-2.8025454151574185,,
(4),3885,0.3028729835237939,73,0.003933006682163261,0.7178337791425926,-0.025186353693052606,-4.489015436149403,0.013834380479711523,6.551917437193623,-0.04425023944367889,-17.49913042657295,-0.002013230009553664,-1.0499165884789456,-0.0004928251165513183,-0.20966335272289527,-0.0035187808527597387,-2.6131756685347467,0.005311441226709742,0.40437092097592164
