spec,N,R2,nclust,z_imp_intensity,z_imp_intensity_t,Intercept,Intercept_t,z_size,z_size_t,z_beta,z_beta_t,z_cogs_int,z_cogs_int_t,z_lev,z_lev_t,z_bm,z_bm_t,manuf,manuf_t
(1),4235,0.001833062887341974,73,0.004972190320623214,1.2043566760919655,0.013641877639034392,2.8919505042231672,,,,,,,,,,,,
(2),4234,0.2762786837164811,73,-0.006241605572403643,-2.227739091715081,0.013473659080848339,3.497435829611414,-0.01526183248070403,-6.362129686143475,0.05949961726690078,20.487576009817637,,,,,,,,
(3),3890,0.275536754242522,73,-0.007337765525125972,-2.348169088982282,0.013298969688858388,3.338624644877321,-0.015080642651049204,-5.449896151242949,0.05913657854773992,19.05279764398704,0.002855915412445174,1.0988862637711814,0.0059974823854960484,2.057465908351815,-0.0009936093555344247,-0.3570184164543367,,
(4),3890,0.2757781098494493,73,-0.009749761436611893,-1.3458094172509314,0.01054452577588675,1.3538349937701553,-0.014752354408314728,-5.236152922968069,0.0590566819995776,19.42080936934826,0.0030305586697051455,1.1832245497120908,0.00603100465174653,2.077813731291362,-0.0008586670703606887,-0.3202749781071756,0.006131506025971073,0.35276058246660863
