q,n,shock,pause,round,intensity
Q1 low,1293,0.016139299816733572,-0.024896494889283624,-0.00875719507255005,0.013645288083425413
Q2,871,-0.0020503690108977513,-0.013515988993502032,-0.015566358004399783,0.03444817390479091
Q3,1762,0.021381568722385627,-0.029017463208811815,-0.007635894486426187,0.0853541623049475
Q4 high,303,0.007751418567051391,-0.017697579842871024,-0.009946161275819636,0.14818540946619763
