test,dv,coef_imp,t_imp,N,R2,cov
Placebo pre-window,car_pre,-0.0052761862772141305,-2.219615276547915,3903,0.018235864143338776,cluster
Shock [Apr3] 1-day,car_s0,-0.0037065838062255887,-1.3532600265935135,3890,0.11486902181727299,cluster
Shock [Apr3-8],car_s03,-0.01341269885736745,-2.4823757273818345,3890,0.15753744602101016,cluster
"Pause [Apr9,10]",car_p01,0.0030945394026427753,0.7667244037760073,3885,0.14081164102031218,cluster
Round-trip (pause+shock),car_round,-0.001209166962729999,-0.4621254749177255,3885,0.028987516773044897,cluster
"Shock, HC1 SE",car_s01,-0.007337765525125972,-5.607433848741225,3890,0.275536754242522,HC1
"Pause, HC1 SE",car_p0,0.0060219908058857345,5.425881694263503,3885,0.3025196245541001,HC1
"Shock, ex-microcap",car_s01,-0.007719148841703823,-2.0937102300022783,2572,0.37602001495963067,cluster
"Pause, ex-microcap",car_p0,0.007691723980795789,2.1026716612900236,2571,0.3476389455258305,cluster
