ticker,naics4,aiie,ai_per_10k_words,ai_mentions_any,accession
RTX,3364,0.5189539,0.0,0,0000101829-22-000005
EXPE,5615,1.68347,0.2685320694423931,1,0001324424-22-000009
PFMT,5611,1.753769,0.0,0,0001550695-22-000015
CAG,3119,-0.8538909,0.0,0,0001437749-22-017530
PTON,3399,-0.068744,0.2331763279391876,1,0001639825-22-000117
LHCG,6216,0.6927072,0.0,0,0001303313-22-000006
IMMR,3341,1.596084,0.0,0,0001628280-22-004000
UFCS,5241,2.058794,0.0,0,0000101199-22-000027
X,3311,-0.9913391,0.0,0,0001163302-22-000021
ROK,3353,0.332973,0.5489177172341866,1,0001024478-22-000093
RXST,5419,0.6022445,0.0,0,0000950170-22-003135
UBX,5417,1.635407,0.0,0,0001564590-22-010232
CORZ,5182,1.74286,0.2786563192286793,1,0001193125-22-088850
BYRN,3359,-0.0384073,0.0,0,0001437749-22-003122
PKE,3344,0.6828295,0.0,0,0001437749-22-012112
CNXC,5418,1.305607,2.8422548555187115,1,0001803599-22-000025
STRM,5415,1.860226,0.0,0,0001493152-22-011434
EVK,3132,-1.114104,0.0,0,0001213900-22-019367
SLDB,3254,0.4637086,0.0,0,0001564590-22-009963
AEIS,3344,0.6828295,1.1842494818908518,1,0001558370-22-003725
CMPX,5417,1.635407,0.0,0,0000950170-22-004156
SDIG,5416,1.8047,0.1067988123972061,1,0001628280-22-007706
HLX,2131,-0.9810408,0.0,0,0000866829-22-000005
AES,2211,0.2096187,0.0,0,0000874761-22-000022
MU,3344,0.6828295,2.3572859780772406,1,0000723125-22-000048
NCMI,5418,1.305607,0.0,0,0001377630-22-000032
LFLY,5112,1.966309,0.0,0,0001628280-22-008014
ESOA,2371,-1.176381,0.0,0,0001410578-21-000612
LLY,3254,0.4637086,0.0,0,0000059478-22-000068
SKYT,3344,0.6828295,0.0,0,0001819974-22-000013
ALOT,3341,1.596084,0.0,0,0001193125-22-108120
AVCT,5415,1.860226,0.0,0,0001213900-22-019952
MPX,3366,-0.6675431,0.0,0,0001558370-22-002350
DTE,2211,0.2096187,0.0,0,0000936340-22-000077
CVV,3344,0.6828295,0.0,0,0001437749-22-007843
AZEK,5511,1.69871,0.0,0,0001564590-22-038518
SAFT,5241,2.058794,0.1446759259259259,1,0001172052-22-000011
NKLA,3363,-0.5860924,0.0,0,0001731289-22-000016
WULF,3333,0.3308995,0.0,0,0001104659-22-041168
HCA,6221,0.5274962,0.0,0,0001193125-22-046707
ANEB,5614,1.704965,0.0,0,0001493152-22-025448
STER,5182,1.74286,3.699261268734516,1,0001645070-22-000016
CPB,3114,-0.980808,0.0,0,0000016732-22-000093
GIC,4238,0.2607571,0.291264963737512,1,0000945114-22-000009
EQT,2111,0.6686154,0.0,0,0000033213-22-000007
GEG,4234,1.041147,0.0,0,0000950170-22-018351
PUBM,5415,1.860226,4.299891642730604,1,0001422930-22-000009
ENSV,2131,-0.9810408,0.0,0,0001437749-22-016757
IMUX,3254,0.4637086,0.0,0,0001280776-22-000006
AAOI,3344,0.6828295,0.0,0,0001437749-22-004349
AXNX,5417,1.635407,0.0,0,0001603756-22-000011
GRNQ,5416,1.8047,2.006876898171066,1,0001493152-22-007945
SLRX,3115,-0.8435335,0.0,0,0001615219-22-000028
EYEN,3254,0.4637086,0.0,0,0001410578-22-000649
TXT,3364,0.5189539,0.0,0,0000217346-22-000005
VVOS,6115,0.947026,0.0,0,0001493152-22-008452
ALPP,5415,1.860226,0.0,0,0001096906-22-000845
FDX,4921,-1.150431,0.2237136465324384,1,0000950170-22-012762
SDGR,3254,0.4637086,3.3404915294679074,1,0001564590-22-006713
CHK,2111,0.6686154,0.0,0,0000895126-22-000029
CASA,3342,1.181725,0.0,0,0001564590-22-007157
ACIW,5112,1.966309,0.6060728499565647,1,0000935036-22-000010
TNL,7211,-0.902616,0.0,0,0001361658-22-000013
STOK,3254,0.4637086,0.1172442902030671,1,0001564590-22-009634
VSH,3344,0.6828295,0.0,0,0000103730-22-000010
VZIO,3343,1.161132,0.1341039842293714,1,0001835591-22-000017
SNPS,5112,1.966309,1.7130131902015646,1,0000883241-21-000022
H,7211,-0.902616,0.0,0,0001468174-22-000016
FGEN,3254,0.4637086,0.0,0,0001564590-22-007632
SBOW,2111,0.6686154,0.0,0,0000351817-22-000009
VERV,5417,1.635407,0.0,0,0000950170-22-003499
PRCH,5112,1.966309,0.0,0,0001558370-22-003720
WRK,3221,-0.9502621,0.0,0,0000950170-22-025444
SSKN,3391,0.2301883,0.0,0,0001140361-22-010347
MVIS,3344,0.6828295,0.275088028169014,1,0001136261-22-000126
ALXO,6213,0.7008373,0.0,0,0001564590-22-007364
OSPN,5415,1.860226,0.1819008640291041,1,0001558370-22-001601
TWNK,3118,-0.8015609,0.0,0,0001644406-22-000012
ATO,2212,0.3453538,0.0,0,0000731802-22-000037
RSSS,5419,0.6022445,0.0,0,0001558370-22-014600
PKI,3345,1.113945,0.0,0,0000031791-22-000003
SQ,5112,1.966309,0.3350794696808926,1,0001628280-22-003825
CBRL,7225,-1.171986,0.0,0,0001140361-22-034827
KALV,3254,0.4637086,0.0,0,0000950170-22-012521
SSY,6221,0.5274962,0.0,0,0001564590-22-032555
CCEL,6219,0.7869348,0.0,0,0000950170-22-001637
JAMF,5415,1.860226,0.1128553532936834,1,0001628280-22-004530
ITI,3333,0.3308995,0.6275362925155838,1,0001628280-22-015920
WEYS,4243,0.6573116,0.0,0,0001410578-22-000345
DHR,3345,1.113945,0.1214860169594479,1,0000313616-22-000061
CREX,5416,1.8047,0.1823486506199854,1,0001213900-22-014206
CVGI,3363,-0.5860924,0.0,0,0001628280-22-004584
ORGS,3254,0.4637086,0.2344033847848763,1,0001493152-22-008157
CDNA,6215,0.6741955,1.3249500132495002,1,0001217234-22-000056
CCO,5418,1.305607,0.0,0,0001334978-22-000010
USER,5416,1.8047,2.1699034392969514,1,0001557127-22-000018
DHI,2361,-0.7602519,0.0,0,0000882184-22-000184
FHTX,3254,0.4637086,0.5707697400714604,1,0001628280-22-005753
SWN,2111,0.6686154,0.0,0,0000007332-22-000009
INTZ,3341,1.596084,0.3028009084027252,1,0001683168-22-001761
CWAN,5112,1.966309,0.6471025981169315,1,0000950170-22-003915
CSX,4821,-0.5922358,0.0,0,0000277948-22-000009
APT,3391,0.2301883,0.0,0,0001437749-22-005979
MX,3344,0.6828295,0.0,0,0001193125-22-050017
DLB,3343,1.161132,0.0,0,0001628280-22-030390
APPS,5415,1.860226,0.2838892831795599,1,0001628280-22-016294
IAC,8129,-0.7702041,0.1072639121294031,1,0001800227-22-000007
CPRX,3254,0.4637086,0.0,0,0001193125-22-077228
SM,2111,0.6686154,0.0,0,0000893538-22-000020
MCB,5511,1.69871,0.0,0,0001558370-22-003202
FSLY,5112,1.966309,0.6783646888567294,1,0001517413-22-000038
SMG,5617,-1.998597,0.0,0,0001546380-22-000035
TNC,3333,0.3308995,0.0,0,0001437749-22-004272
KTCC,3344,0.6828295,0.0,0,0000719733-22-000063
OM,3345,1.113945,0.5716245569909684,1,0000950170-22-001769
SKIL,5112,1.966309,0.8517524807291001,1,0001558370-22-005527
KLXE,2131,-0.9810408,0.3345544571017547,1,0001738827-21-000007
SIGA,3254,0.4637086,0.0,0,0001437749-22-005179
ACCD,6216,0.6927072,3.704555325617639,1,0001558370-22-006561
NEXT,5417,1.635407,0.0,0,0001437749-22-007396
NH,5415,1.860226,1.9712849492394129,1,0001566469-22-000013
FORA,8114,-0.7464604,0.6686428778389463,1,0001140361-22-012185
MRTX,3254,0.4637086,0.0,0,0001628280-22-004246
NSYS,3344,0.6828295,0.0,0,0001437749-22-006550
VNRX,6219,0.7869348,0.0,0,0001477932-22-001740
III,5416,1.8047,0.0,0,0001558370-22-003397
CTIB,3261,-0.8657592,0.2179171479003682,1,0001437749-22-009039
RIGL,3254,0.4637086,0.0,0,0001558370-22-002551
BDSX,6215,0.6741955,2.7999566458325806,1,0000950170-22-003495
COIN,5614,1.704965,0.1059771089444679,1,0001679788-22-000031
PYCR,5112,1.966309,0.6499943125497651,1,0001839439-22-000021
LSEA,2361,-0.7602519,0.0,0,0001721386-22-000004
CHWY,4541,0.6046838,0.0,0,0001766502-22-000008
WEX,5614,1.704965,0.3007307757851579,1,0001309108-22-000020
CRD,5242,2.120996,0.0,0,0000950170-22-003607
UFPT,3261,-0.8657592,0.0,0,0001171843-22-001850
NXTC,3254,0.4637086,0.0,0,0001558370-22-002824
TRHC,6216,0.6927072,0.0,0,0001558370-22-002164
SIRI,5151,1.429625,0.0,0,0000908937-22-000007
EVH,5611,1.753769,0.0,0,0001628908-22-000027
PACK,3119,-0.8538909,0.5936920222634509,1,0000950170-22-002310
ANIX,3254,0.4637086,1.2352999308232038,1,0001493152-22-000302
PDCE,2111,0.6686154,0.2987170104401595,1,0000077877-22-000019
QRTEA,5418,1.305607,0.1341813595255347,1,0001558370-22-002174
TLS,5415,1.860226,0.6570841889117043,1,0000320121-22-000064
TOMZ,5617,-1.998597,0.0,0,0001654954-22-004048
VTVT,3254,0.4637086,0.0,0,0001564590-22-012258
MEI,3344,0.6828295,0.0,0,0000950170-22-011989
WAT,3345,1.113945,0.0,0,0001193125-22-051509
CIA,5241,2.058794,0.0,0,0000024090-22-000005
DSKE,4889,-1.105623,0.1720963050923296,1,0000950170-22-001690
MGTA,3254,0.4637086,0.0,0,0001193125-22-068759
BE,3344,0.6828295,0.111654496326567,1,0001664703-22-000034
AEHR,3345,1.113945,0.0,0,0001654954-22-011877
ELV,5241,2.058794,0.0,0,0001156039-22-000009
CVX,4471,-0.3108229,0.0,0,0000093410-22-000019
CSII,3391,0.2301883,0.0,0,0001180145-22-000038
PETV,5419,0.6022445,0.0,0,0001493152-22-017738
ITP,5614,1.704965,0.0,0,0001213900-22-012344
MAPS,5112,1.966309,0.0,0,0001779474-22-000010
HZO,4413,-0.6871853,0.0,0,0000950170-22-025440
NVRO,3391,0.2301883,0.1053230257198828,1,0001564590-22-006312
CSTL,6215,0.6741955,0.991385957568681,1,0001447362-22-000045
UBER,4859,0.9623069,0.5262511621379831,1,0001543151-22-000008
MAX,5241,2.058794,0.7986369928655095,1,0001818383-22-000023
FLWS,4531,-0.3690017,0.0,0,0001437749-22-022580
PTN,3254,0.4637086,0.0,0,0001654954-22-012862
AWI,3351,0.5806971,0.0,0,0000950170-22-001531
KURA,5417,1.635407,0.0,0,0000950170-22-001967
TRV,5241,2.058794,0.2302255442915576,1,0000086312-22-000013
KWR,3241,-0.1959436,0.0,0,0000081362-22-000003
YETI,3399,-0.068744,0.0,0,0001670592-22-000009
AMKR,3344,0.6828295,0.3888176056611843,1,0001047127-22-000006
VNT,3345,1.113945,0.0,0,0001786842-22-000015
INTU,5112,1.966309,3.648691791963756,1,0000896878-22-000028
MNRO,8111,-1.094294,0.0,0,0001562762-22-000259
SWTX,3254,0.4637086,0.0,0,0001773427-22-000011
GD,3364,0.5189539,1.6631670859233696,1,0000040533-22-000007
MATX,4885,1.024609,0.0,0,0001558370-22-002040
UNM,5241,2.058794,0.0,0,0000005513-22-000030
NHC,6231,-0.2430007,0.0,0,0001437749-22-003787
PLUG,3359,-0.0384073,0.0,0,0001558370-22-002620
NILE,3344,0.6828295,0.0,0,0001214659-22-005320
OMCL,3341,1.596084,0.0,0,0000926326-22-000007
GREE,5182,1.74286,0.0,0,0000950170-22-005214
BVH,7211,-0.902616,0.0,0,0001562762-22-000091
MRSN,3254,0.4637086,0.0,0,0001628280-22-004101
EHC,6223,0.5900623,0.0,0,0000785161-22-000008
QTRX,3345,1.113945,0.0,0,0001558370-22-002489
SNPO,5416,1.8047,0.0,0,0001856430-22-000015
FXLV,7139,-1.085068,0.0,0,0001788717-22-000003
RXDX,3254,0.4637086,0.0997327163202617,1,0001564590-22-009321
CKX,2111,0.6686154,0.0,0,0001437749-22-007344
BMI,3345,1.113945,0.0,0,0001564590-22-006284
FORG,5112,1.966309,1.5647819737116628,1,0001543916-22-000016
SMPL,3119,-0.8538909,0.0,0,0001702744-22-000073
RDI,5121,0.4026041,0.0,0,0000716634-22-000009
FORR,5419,0.6022445,0.0,0,0000950170-22-003377
RIVN,5511,1.69871,0.0,0,0001874178-22-000008
PAYC,5415,1.860226,0.5387447247912365,1,0001564590-22-005562
VOXX,3361,-0.3023474,0.137873983179374,1,0001564590-22-020425
DVN,2111,0.6686154,0.1492782397109973,1,0001564590-22-005321
CSSE,5111,1.337831,0.0,0,0001558370-22-004926
TROW,5259,2.07022,0.0,0,0001113169-22-000005
K,3112,-0.7206286,0.0,0,0001628280-22-003345
FIGS,4481,0.2268381,0.1515450012881325,1,0000950170-22-003380
HXL,3364,0.5189539,0.0,0,0000950170-22-000961
AGE,5417,1.635407,0.1022850479716875,1,0001493152-22-008028
IDN,5112,1.966309,0.3489792357354737,1,0001493152-22-007684
NUZE,3119,-0.8538909,0.0,0,0001493152-21-032231
PSTV,3254,0.4637086,0.0,0,0001564590-22-006708
PSNL,6223,0.5900623,0.5478071280663503,1,0001564590-22-006722
CHRW,4885,1.024609,0.2436172286104073,1,0001043277-22-000006
CCRD,3327,-0.6099281,0.0,0,0001437749-22-005090
DTC,3399,-0.068744,0.0,0,0001870600-22-000009
GBR,2111,0.6686154,0.0,0,0001010549-22-000079
WDC,3341,1.596084,0.0,0,0000106040-22-000055
LTBR,5416,1.8047,0.0,0,0001477932-22-001855
LEU,2389,-1.358564,0.0,0,0001065059-22-000012
ZUMZ,4481,0.2268381,0.0,0,0001564590-22-010072
LPTH,3344,0.6828295,0.0,0,0001654954-22-012585
JNPR,3341,1.596084,6.179766144639053,1,0001043604-22-000017
FRSH,5415,1.860226,0.9168143756494102,1,0001628280-22-003537
VLO,3241,-0.1959436,0.0,0,0001035002-22-000007
TARA,3254,0.4637086,0.0,0,0001213900-22-011208
MPWR,3344,0.6828295,0.0,0,0001437749-22-004460
SLGC,5417,1.635407,1.861751642330913,1,0001628280-22-007711
XELB,5331,1.911472,0.2985341970922769,1,0001558370-22-005491
DFH,2361,-0.7602519,0.0,0,0001140361-22-009752
IRWD,3254,0.4637086,0.0,0,0001558370-22-001368
EMKR,3344,0.6828295,0.0,0,0000808326-21-000044
ATUS,5152,1.098212,0.0,0,0001628280-22-002873
HIPO,5241,2.058794,1.0512299390286637,1,0001628280-22-006061
CRC,2131,-0.9810408,0.0,0,0001609253-22-000010
EYE,3391,0.2301883,0.0,0,0001710155-22-000010
BOX,4541,0.6046838,0.6076441635778088,1,0000950170-22-003913
CGNX,3345,1.113945,1.7864320485909515,1,0000851205-22-000008
RMNI,5112,1.966309,1.1194760851921302,1,0001635282-22-000049
KEX,4832,-0.8718479,0.0,0,0000950170-22-001486
MICT,3359,-0.0384073,0.1082180810769863,1,0001213900-22-033622
AVAH,6216,0.6927072,0.0,0,0000950170-22-004799
PRLD,6213,0.7008373,0.0,0,0001564590-22-010723
SIGI,5242,2.120996,0.0,0,0000230557-22-000006
MEDS,2131,-0.9810408,0.3316309610665252,1,0001493152-22-007879
MYGN,3254,0.4637086,0.1488604730785834,1,0000899923-22-000033
CTRA,2111,0.6686154,0.0,0,0000858470-22-000009
ENG,5413,1.492814,0.0,0,0001654954-22-002983
NTWK,5112,1.966309,1.0239257312536263,1,0001493152-22-026889
HLT,7211,-0.902616,0.0,0,0001585689-22-000013
CMRX,3254,0.4637086,0.0,0,0001117480-22-000008
FLGT,6215,0.6741955,0.1226482203743223,1,0001564590-22-007366
LEE,5111,1.337831,0.0,0,0001437749-21-028322
SPLK,5112,1.966309,2.2718323084845364,1,0001353283-22-000011
CROX,3162,-0.5300771,0.0,0,0001334036-22-000011
