moderator,outcome,b_low,t_low,c_int,t_int,N
Large firm (high ln ME),car_0_10_cg_w,0.0025154370387751018,0.5268504368391543,0.0076784748794862905,0.9396513814733437,2864
Large firm (high ln ME),car_0_1_cg_w,-0.000378397209990402,-0.2179730006710461,0.006404222744412642,2.7473274040330136,2864
High book/market,car_0_10_cg_w,0.010785023751149014,2.894984182040074,-0.007305780302008348,-1.628142720359319,2864
High book/market,car_0_1_cg_w,0.004510840399809642,3.062541285591847,-0.0020494343237636033,-1.29198161912312,2864
High momentum,car_0_10_cg_w,0.01155793609581457,2.751962372589157,-0.008695491623942448,-1.6692181460827644,2864
High momentum,car_0_1_cg_w,0.004317900031527436,2.1733215861548,-0.0016420759260760156,-0.7677306337385998,2864
Financial firm (SIC 6000-6999),car_0_10_cg_w,0.009536592045096243,3.3079170231572084,-0.019074867780505295,-1.496511328929948,2864
Financial firm (SIC 6000-6999),car_0_1_cg_w,0.0038357994582605775,2.719843770788157,-0.0017225685473406592,-0.29375106772430026,2864
