char,gap_pre,gap_post
z_lnme,-0.19022084198371372,0.018593750171461282
z_mom,-0.1455579504619446,-0.020154114004132938
z_bm,0.15090990452098807,-0.0017021043733332908
z_lnemp,-0.37516157347863877,-0.04289543409602167
