term,coef,t,N,R2,nclust
supplier,0.014127536998337025,0.8713406648868964,2864,0.00900107499061975,179
substitution,-0.01056280705510312,-1.1070647391786534,2864,0.00900107499061975,179
z_lnme,0.00622602728505829,0.8030775227173219,2864,0.00900107499061975,179
z_mom,-0.009519849555279111,-1.9657373898310286,2864,0.00900107499061975,179
Intercept,-0.014002834279806132,-3.5345806167594263,2864,0.00900107499061975,179
supplier - substitution (diff),0.024690344053440144,,2864,0.00900107499061975,179
