spec,N,R2,nclust,z_aiie,z_aiie_t,Intercept,Intercept_t,z_lnme,z_lnme_t,z_mom,z_mom_t,z_bm,z_bm_t,z_lnemp,z_lnemp_t
(1),3015,0.0015920607149573218,180,0.005847826775149712,1.8820024306389684,-0.013088111783752328,-3.65005490993216,,,,,,,,
(2),3014,0.009912618632180847,180,0.005919664704428634,2.066033989151196,-0.01312174901835215,-3.79032261272658,0.012648676404950663,3.3953258691569945,-0.010775656288080002,-1.9550832037484265,,,,
(3),2864,0.010220213072370754,179,0.007146937513607348,2.4901335365916584,-0.01287207543403795,-3.5880877218209473,0.005490379710619156,0.7145161193666115,-0.009229212420809893,-1.9236995733222784,-0.005434931467560881,-1.3623612683151929,0.0052361683576319625,0.8254330061505131
(4),2711,0.013791672451574088,178,0.00970807439613841,3.394443521706386,-0.011299375454846959,-3.057221455147338,0.006517472410024682,0.8154295104715421,-0.008883876752409628,-1.9236334411548797,-0.006549577430870793,-1.581801215819925,0.006114832214988966,0.9269079908844065
(5),2864,0.013470087211059911,179,0.003488462041463396,2.6075628981876795,-0.005826627921438864,-3.579208663205335,0.00427294312714007,1.4616964423676748,-0.00472374449409278,-3.0012799810207467,-0.0012695062313414238,-0.7167991712290344,0.00013692772007337247,0.04678022858236306
