,count,mean,std,min,25%,50%,75%,max
"CAR[-1,+1]",15.0,0.026441010643257833,0.10316739168501254,-0.0628239620683231,-0.0159610249102244,0.0049470557889768,0.01868937606199075,0.3579445130190778
"CAR[0,+3]",15.0,0.016209029993125047,0.1201807020191586,-0.1739824898517548,-0.025245808963078202,-0.0071641041609729,0.015848818387248748,0.3901569502867901
Award ($M),15.0,1737.7266666666667,2851.1948083132415,16.0,65.0,162.0,1550.0,8500.0
Award/Mkt cap (%),15.0,5.926753078105223,12.916411303424406,0.0775533804267737,0.5229912660871875,4.069569286960592,4.854457068313369,51.94736039600567
Mkt cap ($M),15.0,56108.62622810867,67398.86227852585,393.162,5827.10441,29548.392240000005,84741.1041,184371.36964954
ln(Award $M),15.0,5.73000581319925,2.133791278772572,2.772588722239781,4.157048667702903,5.087596335232384,7.345489647659086,9.047821442478408
ln(Mkt cap $M),15.0,9.807745708270481,1.9420934858890042,5.974221740672976,8.433304428304876,10.29378461323224,11.228070477579337,12.124707315845978
Market beta,15.0,1.8437897563486183,0.7778554372613777,0.7453737387856452,1.353737035403773,1.732896758517399,2.1613627285070067,3.534594141956229
