window,mean,se,t,mde,mde_excl_wolf
"CAR[-1,+1]",0.026441010643257833,0.02663770599118074,0.9926159051388274,0.0746277975393021,0.0367195277009859
"CAR[0,+1]",0.03031105742691959,0.027206552676847955,1.1141087144316333,0.07622146988116708,0.03164186192184678
"CAR[0,+3]",0.016209029993125047,0.031030523830381157,0.5223576012356974,0.0869346501053384,0.047529146025688314
"CAR[-1,+5]",0.023420944594943753,0.03211195085366352,0.7293529035864151,0.08996435983236092,0.06485857803073612
"CAR[-5,+5]",0.029536920879634283,0.04314251108492643,0.6846361080255756,0.12086741191786361,0.07572456641373797
