spec,N,R2,ln_award,ln_award_t,Intercept,Intercept_t,award_pct_mktcap,award_pct_mktcap_t,ln_mktcap,ln_mktcap_t
(1) ln(Award),15,0.0015381823934665917,-0.0018962449313445432,-0.21758825425006323,0.03730650512311168,0.7523899426861104,,,,
(2) Award/Mktcap,15,0.7966625654598997,,,-0.015811704702046594,-1.167740528576041,0.007129150613916341,32.397931488233084,,
(3) +ln(Mktcap),15,0.850966711098151,,,0.11965407811361815,1.211196844626039,0.006375068947071226,10.44345543221712,-0.013356435910148403,-1.4812821213238403
(4) Drop Wolfspeed,14,0.044934846262197015,,,-0.009370371805959041,-0.8302303781218063,0.004596421148339348,0.9999696296308507,,
(5) Drop ADR (TSM),14,0.797045412308356,,,-0.01637766711664785,-1.1237463860504604,0.007134487709794165,30.865044102233682,,
