variant,mean,median,t,npos,n
Market model (baseline),0.026441010643257837,0.004947055788976832,0.9926159051388274,8,15
Market-adjusted ($\beta=1$),0.027237066666666677,-4.80000000000003e-05,1.0634637253011074,7,15
Mean-adjusted,0.028905400966183582,0.016045449275362323,1.0790292851116143,9,15
"Market model, est.\ $[-252,-11]$",0.026250008658181213,0.005834369000819231,0.9823057383617877,8,15
"Market model, est.\ $[-120,-11]$",0.026705613896838083,0.005233082434278982,0.9828287568023985,8,15
