moderator,mean_hi,n_hi,mean_lo,n_lo,diff,t_diff
Award structure: grant+loan vs grant-only,0.06936122307939055,5,0.0049809044251914805,10,0.06438031865419908,0.857688303158291
Firm size: above vs below median mkt cap,-0.006465341467469201,7,0.05523406874014399,8,-0.061699410207613194,-1.2537889044815043
Relative award: above vs below median,0.04562851154564675,7,0.009651947353667537,8,0.03597656419197921,0.628383134623039
Core semiconductor (SIC 3674) vs other,0.06696098299916305,5,0.00618102446530523,10,0.060779958533857814,0.8011833609633181
Market beta: above vs below median,0.062113215287803135,7,-0.0047721684207193,8,0.06688538370852243,1.1946384637482004
