window,mean,median,t_stat,n_pos,n,sign_p
"CAR[-1,+1]",0.026441010643257833,0.0049470557889768,0.9926159051388274,8,15,1.0
"CAR[0,+1]",0.03031105742691959,-3.865849373321491e-05,1.1141087144316333,7,15,1.0
"CAR[0,+3]",0.016209029993125047,-0.0071641041609729,0.5223576012356974,6,15,0.6072387695312499
"CAR[-1,+5]",0.023420944594943753,0.0041635798658097,0.7293529035864151,8,15,1.0
"CAR[-5,+5]",0.029536920879634283,0.0115581440003294,0.6846361080255756,9,15,0.6072387695312499
"CAR[-10,-3] placebo",-0.013536403182215754,-0.0124283285430229,-1.2789223271563495,6,15,0.6072387695312499
