spec,N,R2,z_uninsured_ratio,z_uninsured_ratio_t,Intercept,Intercept_t,z_sec_loss_eq,z_sec_loss_eq_t,z_size,z_size_t
(1) Uninsured,157,0.13856090817771693,-0.04947632584027406,-2.552550570662549,-0.13935964766307865,-14.109156389951083,,,,
(2) Sec loss,165,0.06279302028571143,,,-0.1411279122561607,-14.10174143259513,-0.03317355000337669,-1.5652511777784575,,
(3) Both,157,0.15944004166059855,-0.04548389123448312,-2.9176080444393375,-0.13982901985536128,-14.009604374392422,-0.01971556595557211,-1.0918249752509956,,
(4) + Size,157,0.18549395709955274,-0.04152171213090248,-3.046042092240062,-0.14118127209521758,-13.788806259403149,-0.020354438513775604,-1.164692369860109,-0.024111388676546996,-1.9719875959821493
(5) No GSIB,153,0.20922247674903638,-0.04052046274639456,-3.085732047974531,-0.14554573667418813,-12.97250743145629,-0.021986979936454515,-1.266477246446444,-0.036528944003184696,-2.3604373188053995
