predictor,real,p_ri,perm_q025,perm_q975,nperm
Uninsured deposits / Assets,-0.04152171213090255,0.0,-0.020391593978585025,0.019839702946550356,2000
Securities unreal.\ loss / Equity,-0.020354438513775597,0.038,-0.020365719195219897,0.0176199363417209,2000
