,car_0_3,uninsured_ratio,sec_loss_eq,htm_loss_eq,size
car_0_3,1.0,-0.3757514292530269,-0.3020661240279649,-0.4378828299533168,-0.2011203557572322
uninsured_ratio,-0.3757514292530269,1.0,0.22535788843842772,0.2664053255870382,0.17261376590789523
sec_loss_eq,-0.3020661240279649,0.22535788843842772,1.0,0.5550896004135154,0.035975071343924504
htm_loss_eq,-0.4378828299533168,0.2664053255870382,0.5550896004135154,1.0,0.30281086918222533
size,-0.2011203557572322,0.17261376590789523,0.035975071343924504,0.30281086918222533,1.0
