predictor,coef,se,mde,mde_pct_carsd,mde_vs_unins
Uninsured deposits / Assets,-0.04152171213090255,0.01363136518588535,0.03818942823429861,28.732014425839164,0.9197459900955317
Securities unreal.\ loss / Equity,-0.020354438513775597,0.017476235820296813,0.04896116013060625,36.836182792466374,1.179170068330754
ln(Assets),-0.024111388676547003,0.012226947433986427,0.034254832526844865,25.771800936052617,0.8249860318585152
