window,mean,median,t_stat,n
"[0,+1]",-0.04634820280832482,-0.0416592878357405,-12.582168763175629,165
"[0,+3]",-0.14112791225616067,-0.1105391746746198,-13.693631169994871,165
"[0,+5]",-0.1263150634529695,-0.1001813640919757,-13.807335012378259,165
"[-1,+3]",-0.15273819079095588,-0.1215298033072753,-14.613874466797801,165
"[-6,-2] placebo",-0.026933764849580214,-0.0280108993268717,-15.620284924989377,165
