row,window,diff,se,t,n_hi,n_lo
Raw difference (all banks),"[0,+3]",-0.057273987601643,0.02088847077577896,-2.7418947139038314,78,79
Matched difference,"[0,+3]",-0.053938907800388056,0.022232212241325006,-2.426160168628067,54,54
Matched difference (placebo),"[-6,-2]",0.003933196503833222,0.004063747224412075,0.9678743008928806,54,54
