spec,N,R2,z_uninsured_ratio,z_uninsured_ratio_t,z_htm_loss_eq,z_htm_loss_eq_t,z_size,z_size_t,z_sec_loss_eq,z_sec_loss_eq_t
HTM-only loss,157,0.21354292961003085,-0.04000167597806191,-3.132675777434066,-0.03163935346454448,-1.4832432320556272,-0.014047553623341414,-1.336704019703474,,
"DV=CAR[0,+1]",157,0.19319709776795813,-0.013456889677899195,-2.0603209268999416,,,-0.010216478634868364,-1.9439059856745737,-0.009338138817383941,-1.0171826932372727
"DV=CAR[-1,+3]",157,0.20577077931015664,-0.04272327875449539,-3.1132106817703757,,,-0.03040214608846514,-2.4442174106180112,-0.019631208010894557,-1.1225080277126647
