predictor,coef,t
Uninsured deposits / Assets,-0.0005832032879214822,-0.36853638382431897
Securities unreal.\ loss / Equity,0.0019801950588983386,1.3698721834061545
ln(Assets),-0.0019745868131545515,-1.018608591517135
