moderator,unins_base,unins_base_t,unins_int,unins_int_t,sec_base,sec_base_t,sec_int,sec_int_t,N
Large bank (above-median assets),-0.01760932632059517,-2.303086443998633,-0.04120623720023751,-1.7349881936817775,0.0037963558794136157,0.6751037095656521,-0.05090952366402712,-1.637936258066912,157
High securities loss (above-median),-0.021370941702042213,-2.200962775537343,-0.04438711181341479,-1.5637954464510753,-0.014279538644788974,-0.5788048851943557,-0.007735163406648341,-0.18833736826000205,157
High HTM loss (above-median),-0.009896717275374209,-1.9839316928083082,-0.0689730486999722,-2.403089250567952,0.00255195910253996,0.5658440660112461,-0.03584031003220388,-1.245713869312817,157
Thrift holding company,-0.04359349593788704,-2.7601873780728825,0.005979924219272468,0.3096599854694994,-0.021977824830023446,-1.187959290991367,0.020683580276315422,0.8717735456004624,157
