estimate,coef,se,mde,mde_pp,mde_pct_sd
Raw-score slope (pre-cutoff),-0.008545560799164985,0.0498316782609099,0.1396076823405913,13.96076823405913,23.164825214564036
Anon-score slope (pre-cutoff),-0.025450694428643398,0.04236663530322962,0.11869372996599857,11.869372996599857,19.694614670410505
Score-gap slope (pre-cutoff),0.025982054428681206,0.06780227032399043,0.18995382350563675,18.995382350563673,31.518660338556725
"Extra-RAW slope, pre (z x Raw)",0.016905133629478396,0.04534593645557166,0.12704049538488274,12.704049538488274,21.079576864422958
Triple z x Raw x Post,0.029661527003805158,0.08044155205912035,0.2253638456255507,22.53638456255507,37.39417491984248
