spec,key,coef,t,se,N,r2
(1) RAW / pre,z_raw,-0.008545560799164985,-0.17148852090475322,0.0498316782609099,106,0.00034591932632876965
(2) ANON / pre,z_anon,-0.025450694428643398,-0.6007249394832939,0.04236663530322962,106,0.0033464676373785585
(3) RAW / post,z_raw,-0.029414623631439707,-0.32870575884857084,0.0894861828234367,103,0.0014853525690841085
(4) ANON / post,z_anon,-0.07598128426472356,-1.0303167439516134,0.0737455590339235,103,0.009645015895623499
