spec,N,r2,z,z_t,Intercept,Intercept_t,z:raw,z:raw_t,raw,raw_t,z:post,z:post_t,post,post_t,z:raw:post,z:raw:post_t,raw:post,raw:post_t
(1) pooled,418,0.002560896472230456,-0.03046175623393633,-0.7841375853479635,-0.11007283880388764,-2.6412292659333265,,,,,,,,,,,,
(2) x raw,418,0.0031010649991640715,-0.04417067350903734,-1.1399238743099682,-0.1102177273342947,-2.642764510939371,0.027985585468687048,0.7557095635161445,0.00019797881485102852,0.07804401695979032,,,,,,,,
(3) x post,418,0.004109237229474427,-0.017364609008975646,-0.4340637976267155,-0.09546807464400806,-2.032282783033554,,,,,-0.035011379631303664,-0.41191470960203025,-0.033321831945168204,-0.3946052386113901,,,,
(4) triple,418,0.004847334893366195,-0.025450694428643384,-0.5999213952194271,-0.0945759918624488,-1.9987825303316775,0.016905133629478368,0.3731904327941517,-0.0018162137150847025,-0.3060908425240675,-0.05053058983608005,-0.5934649905636904,-0.03740410800597368,-0.44387980964772555,0.029661527003805158,0.36873389740175005,0.0076970816444253696,0.6932603329082736
