dv,N,raw_coef,raw_t,anon_coef,anon_t
BHAR 12m (w),106,-0.008545560799164985,-0.17148852090475322,-0.025450694428643398,-0.6007249394832939
BHAR 6m (w),106,-0.010373618650802429,-0.3172435907653484,0.0055136521263496425,0.19856405180042544
BHAR 3m (w),106,-0.007891022071515392,-0.35312824126511566,0.009993975418285587,0.41976113342384425
Raw ret 12m (w),106,-0.007207282139559757,-0.14593513544521175,-0.025110193268113253,-0.5938516854569751
BHAR 12m (raw),106,-0.00745857972925544,-0.14922824012890804,-0.024445485848585195,-0.575272728052951
