statistic,actual,p_ri,perm_q025,perm_q975,nperm
Triple z x Raw x Post,0.029661527003805185,0.762,-0.15241530782892884,0.1467795779120483,2000
Within-pre extra-RAW slope (z x Raw),0.016905133629478437,0.714,-0.08368529455102311,0.08570264474390547,2000
