spec,coef,t,N
(1) RAW / pre,0.061910015126270916,0.8923398761323287,90
(2) ANON / pre,-0.03344511552299569,-0.6182876734392749,90
(3) RAW / post,-0.05099602855427729,-0.5446983737715534,90
(4) ANON / post,-0.11946190377905769,-2.619360782593252,90
Triple z x Raw x Post,-0.026889255424485836,-0.24466761865312348,360
