estimand,real,p_ri,perm_q025,perm_q975,perm_mean,nperm
Level post-publication decay (H1),-0.2586564143945787,0.308,-0.285077597415578,-0.21288108678129977,-0.24958966966363896,500
Incremental effect at publication (H2),-0.12690349343766785,0.078,-0.1399283123662221,-0.012620068460905201,-0.07710039963687564,500
