estimand,coef,se,mde,mde_pct_ins
Post-publication decay (H1),-0.271774542834554,0.03439676128393548,0.09636545046165439,16.579370875488785
Incremental effect at publication (H2),-0.1269034934376682,0.05707776916715841,0.15990822193217352,27.51170367338684
Risk $\times$ post-pub.\ interaction (H3),-0.0338138713663941,0.08150698121344001,0.22834873596285535,39.28667758351541
