moderator,pp_lo,t_lo,pp_int,t_int,decay_hi,n_hi,n_lo,N
High in-sample return,-0.1315237523565886,-4.001689270327695,-0.2798972368182448,-4.302393903709037,-0.4114209891748334,110,102,173302
High in-sample $t$-stat,-0.20117786335983573,-5.259863968755035,-0.15966872636407312,-2.4302719335466083,-0.3608465897239088,91,97,156598
Top-3 journal (JF/JFE/RFS),-0.30394104978334385,-8.992986358056442,0.04945891627399895,0.8261811574146788,-0.2544821335093449,133,79,173302
Modern era (pub.\ $\ge$ 2006),-0.21651056084953607,-4.147893708926204,-0.11701452244148414,-1.7673996503405864,-0.3335250832910202,110,102,173302
