spec,postsample,postsample_t,postpub,postpub_t,N
"Normalized DV (in-sample=100), Anom FE",2.866945319011268,0.13161069725095703,-39.7519581255372,-2.4561113099299527,171286
"Sample >= 1963, Anom FE",-0.19405800449927324,-3.74116332653165,-0.3176821353187557,-9.319103934379717,141003
">=36 post-pub months (210 anomalies), Anom FE",-0.14714596650227527,-2.778765129261967,-0.2721705224160933,-7.902296079095614,172908
"Winsorized 1/99, Anom FE",-0.10760476239423816,-2.3621806352366046,-0.23595174451884168,-8.079440266212993,173302
"PLACEBO pub-year minus 12, Anom FE",0.0,,-0.10803545223094539,-3.570712959966367,173302
