split,postpub,postpub_t,postpub_x_risk,postpub_x_risk_t,postsample,postsample_t,postsample_x_risk,postsample_x_risk_t,risk_main,risk_main_t,N,decay_mispricing,decay_risk
Broad risk proxy (incl. liquidity),-0.24232667647515324,-5.707555172058677,-0.03381387136639416,-0.41485859079784443,-0.14268521805390105,-2.359830063628883,-0.07624115993524967,-0.46634419797062554,-0.0952080631157832,-1.4013902457216612,173302,-0.24232667647515324,-0.2761405478415474
Narrow risk proxy (excl. liquidity),-0.25361303269055546,-6.232090654758052,0.0958659172503233,1.0445221282774557,-0.15260888918560295,-2.580108237644143,0.01617634663107718,0.08764292760933094,-0.1447247043083627,-1.7185268032524905,173302,-0.25361303269055546,-0.15774711544023218
