spec,postsample,postsample_t,postpub,postpub_t,pub_extra,pub_extra_t,pct_decline_postpub,cluster,N,R2
(1) No FE,-0.15110358170821103,-2.69680831454841,-0.24441122979162663,-6.434072223517012,-0.09330764808341148,-1.5859372173073094,-42.050178828999826,anomaly,173302,0.0006474870132109345
(2) Anomaly FE,-0.14487104939688794,-2.7525441747089245,-0.271774542834554,-7.90116664156641,-0.12690349343766827,-2.2233436115209346,-46.757950267284286,anomaly,173302,0.009370848583651004
(3) Anomaly + Year FE,-0.24512319337898866,-3.568232423279575,-0.24504879054104425,-3.290918537373421,7.440283794230225e-05,0.0011454977370997119,-42.159869138852685,anomaly & month,173302,0.014737226920246815
(4) Anomaly + Month FE,-0.24512477745858668,-3.500480052244645,-0.2447517789969335,-3.2417576363036686,0.00037299846165300124,0.005617007274034815,-42.10876924235946,anomaly & month,173302,0.0006828696921959976
