regime,n_obs,mean,sd,med,n_anom,pct_of_insample
insample,111352,0.5812370757935252,4.304740259166343,0.4533736743766905,212,100.0
postsample,9042,0.4301334940853133,4.163524310140765,0.350875310585884,212,74.00310682144287
postpub,52908,0.33682584600190213,4.674405348319781,0.22515635302742398,212,57.94982117100078
