evt_bin,mean,n,pct_of_insample
-30,0.48538529282250725,52717,83.50900399115838
-29,0.38104502155824793,1960,65.557590426941
-28,0.5657950941706079,2006,97.34325591638569
-27,0.4807166404008469,2039,82.70577711247269
-26,0.46098202425511137,2076,79.31049884004089
-25,0.5240654759387487,2098,90.16380712178008
-24,0.5597577731598808,2142,96.30455393707979
-23,0.7257400894047662,2160,124.86128632003737
-22,0.8490840807653954,2190,146.08222980376743
-21,0.5732621381590247,2212,98.6279372107134
-20,0.5730700658073958,2237,98.59489177028503
-19,0.6473122680436548,2250,111.36802778107734
-18,0.4778955947928679,2287,82.22042514071012
-17,0.6872624348536915,2304,118.24132758830237
-16,0.7263623304466178,2331,124.96834092267126
-15,0.770629121958281,2363,132.58430235307875
-14,0.7073211953313109,2405,121.69237386752232
-13,0.8054884594137381,2443,138.58174107597267
-12,0.6478288339496425,2460,111.45690131091585
-11,0.7698469277261433,2462,132.44972831010844
-10,0.7220857373205534,2483,124.23256660541426
-9,0.7942423126969231,2484,136.6468771133699
-8,0.7213917538545077,2510,124.11316894567305
-7,0.4363714638210154,2544,75.07632977907781
-6,0.8748456214503804,2544,150.51442137547926
-5,0.7550294837319168,2541,129.90043394962788
-4,0.8546996538651823,2532,147.04837138930208
-3,0.4384664173014367,2532,75.4367598974699
-2,0.49272929013437883,2538,84.77251549407572
-1,0.3018609457742803,2544,51.934220707130414
0,0.40425209599784273,2538,69.55029416283254
1,0.296798128056256,2532,51.06317893624676
2,0.5407960379529477,2518,93.04224738496491
3,0.04598256180994504,2520,7.911154281954232
4,0.336957120919264,2510,57.97240660521154
5,0.4473611125133831,2502,76.96706406807068
6,0.4529552924110908,2496,77.92952502087041
7,0.3539117471072931,2496,60.88939640062024
8,0.3280864192468562,2496,56.44623044717874
9,0.20296241627045702,2421,34.919041596471736
10,0.3485811274785772,2393,59.97228015826108
11,0.3404908374275223,2322,58.58037135065279
12,0.32064225240634503,2209,55.16548509377055
13,0.3105907922912317,2125,53.4361631812978
14,0.3834954580914774,1970,65.97918027990832
15,0.4976525715674476,1908,85.61955048859106
16,0.37338435553844157,1848,64.23959707468491
17,0.2781969872400981,1620,47.86291150823334
18,0.5410892405951603,1512,93.09269197193697
19,0.17435663025097484,1164,29.997506613448056
20,0.2743601081610006,8808,47.20278860161054
