regime,ew_mean,ew_t,n_anom,pooled_mean,ew_pct_of_insample
insample,0.6142370064883398,20.05307337070616,212,0.5812370757935252,100.0
postsample,0.4170657570601881,6.764054538673513,212,0.4301334940853133,67.89980946354872
postpub,0.30264696940056923,6.8779540331275495,212,0.33682584600190213,49.272018162962055
