event_window,mean_ret,n,pct_of_insample
pre-pub,0.5698886814731634,120394,98.04754466069312
0-4y post,0.32499980446306087,12618,55.91518813891212
5-9y post,0.35803024304063336,12411,61.59797059604946
>=10y post,0.33273865566112254,27879,57.24663300372848
