spec,base,base_t,inter,inter_t,inter_se,N
(1) High-belief split,-0.009550716565020212,-1.9327116963381714,0.01950849590561311,2.5296093737149663,0.007712058671320889,32085
"(2) Worried (continuous, z)",0.00011562978317542395,0.030469341616721206,0.0014236567046243698,0.321688542986907,0.004425574785491548,32085
"(3) GOP vote share (inverse belief, z)",-0.0015193658502125663,-0.3995470428887337,0.001956080267027026,0.47878360548875604,0.004085520566290492,32085
(4) NRI hurricane risk (z),0.0035709160006448396,0.9786797734412536,0.006398066214749891,1.7173423912919719,0.003725562384759261,32085
"(5) Worried (z), Helene only",-0.014605678843858376,-3.363557216523544,-0.0111107960924909,-2.532457974911272,0.004387356553421259,27000
"(6) High-belief split, detrended",-0.0066716886340771765,-2.714221334129715,0.0027737974713069936,0.7986995358066795,0.003472892304244903,32085
