rel_month,coef,se,t
-24,-0.013195778598183182,0.004355236523561013,-3.0298649744500654
-23,-0.014361862481399175,0.004284527175102043,-3.352029732675724
-22,-0.01560280493419315,0.004187799016144027,-3.7257769234015545
-21,-0.01600380706889409,0.0040588140899954816,-3.9429761289982874
-20,-0.01635895834588353,0.003960614727564037,-4.130408906484336
-19,-0.016827840803400055,0.003890674358210227,-4.3251732872193225
-18,-0.016691018646255475,0.003832001054276996,-4.3556926028572445
-17,-0.01567393927072306,0.0036789193973773304,-4.260473681999359
-16,-0.014100346510839445,0.0035085208992131447,-4.018886281681186
-15,-0.012920547903054113,0.00335099377169485,-3.8557361736065596
-14,-0.012076139778787989,0.003179003690503591,-3.7987183893061123
-13,-0.011168145606393407,0.0029629680844570844,-3.7692426270058146
-12,-0.010053640802894262,0.002706627585902358,-3.71445294330823
-11,-0.009054973146767275,0.0024982217534293178,-3.624567408532682
-10,-0.008317884965673017,0.0023457898441114028,-3.545878155519031
-9,-0.008022723950597815,0.0022465470934307746,-3.571135443391064
-8,-0.00766205095908398,0.0021591071107812517,-3.5487127622452883
-7,-0.006992744540107278,0.00207242706769755,-3.3741812433844345
-6,-0.005631914283110701,0.001888796853572007,-2.9817469636609566
-5,-0.003959829427276138,0.0015926485495207292,-2.486317165496278
-4,-0.002251003300768971,0.001254396154278586,-1.7944915512464579
-3,-0.0008187749849953366,0.000947183598804646,-0.8644311261603745
-2,1.2755634590729008e-06,0.0006594869261988468,0.0019341755058360265
-1,0.00028748610065544404,0.00035016299020562935,0.8210065275220005
0,0.0,0.0,
1,-0.0004958061767533686,0.00033266890883382796,-1.490389283721821
2,-0.0012459538688213783,0.0006736627155680319,-1.8495217859441588
3,-0.00165564324780597,0.0009634272297686722,-1.7184933087302352
4,-0.0026526685743641512,0.0012422142456978656,-2.135435641276118
5,-0.0037590033247353258,0.0014598956116700025,-2.574843909856904
6,-0.005708071798879365,0.0016932162749511803,-3.3711415861768415
7,-0.00763928832677095,0.0019869225983757707,-3.8447840560149453
8,-0.009182228726672195,0.002275246016303147,-4.0357080776660865
9,-0.01003617037565465,0.0025659107059260162,-3.91134826027887
10,-0.0103150589025816,0.002788195634091553,-3.6995463218069493
11,-0.010530151614516146,0.003047020678179123,-3.4558845267859772
12,-0.010766283033319737,0.0033061638641457523,-3.256427532245602
13,-0.011131905921977759,0.003510667395154109,-3.1708802540917147
14,-0.011482429931050272,0.0036672614052427398,-3.1310639363299595
15,-0.011582982089786894,0.003806638784748736,-3.042837197002775
16,-0.01128009375954804,0.003943529400223991,-2.8604056454878553
17,-0.010945052892830445,0.004046168552523437,-2.705041263296964
18,-0.01085192394369214,0.004152150958488693,-2.613566812041449
19,-0.011019373590710353,0.004282390180739326,-2.5731829949245615
20,-0.011443217835104965,0.00443537846481831,-2.579986787119354
