var,treated,control,diff,t
Worried about warming (%),55.754703703703704,56.66887323943662,-0.9141695357329169,-1.9539625708890376
Believe warming happening (%),65.66781481481482,66.23771830985915,-0.5699034950443291,-1.2588837255517578
2020 GOP vote share,0.6417621328962393,0.6040463715575579,0.037715761338681375,3.1722462050040052
NRI hurricane risk score,77.82509773018744,72.5597640914322,5.265333638755237,3.5194425210377216
NRI overall risk score,58.07917491282632,53.26494590955402,4.814229003272295,1.9986457922418601
ln ZHVI at landfall,12.458329425535183,12.498694842640159,-0.040365417104975876,-1.2278153689777391
Pre-period monthly ln-ZHVI trend,0.004786597546608386,0.00463412060297197,0.00015247694363641588,0.33055744999354353
N (county-events),216.0,497.0,,
