group,pretrend_slope,t,se,N
Full sample,0.0007445616895354814,3.62231735750543,0.00020554844207472655,17112
High belief,0.0012010909578083668,3.631621562491625,0.0003307313102812146,9000
Low belief,0.0002664238303275687,1.0655873846838453,0.00025002532326958376,8112
