spec,coef,t,se,N
Average DiD (matched),-0.00578090487415092,-1.3071353371810628,0.004422575619918503,18090
Detrended DiD (matched),-0.0024495332812517613,-1.1901556285341153,0.0020581621617576096,18090
Belief-split interaction (matched),0.0034885563118942134,0.3967757718185781,0.008792261422376673,18090
