moderator,base,base_t,inter,inter_t,inter_se,N
High pre-storm home value,0.010741901247287067,1.7108023986416554,-0.018279305638011816,-2.2119735932831057,0.008263799212395158,32085
High pre-storm price momentum,-0.009177716388267174,-1.5864671530946814,0.019095220557001618,2.6238487006475495,0.007277561603414495,32085
High FEMA flood risk (NRI),0.00420855185505127,1.002747057143677,-0.014217356215743175,-1.368423953007943,0.010389584444566245,32085
High FEMA overall risk (NRI),-0.003597873045130219,-0.6234873601689412,0.010467270127511885,1.2659261065334648,0.008268468493927202,32085
