estimand,coef,se,mde,mde_pct_price,mde_pct_sdchg
Average DiD (Treat$\times$Post),0.0013121533490279,0.0038706076179848,0.010843836243431947,1.0843836243431948,15.084624781228026
Detrended DiD,-0.0053026960551234,0.001758937918078,0.004927814087218554,0.49278140872185544,6.85497501332754
Belief-split interaction,0.0195084959056131,0.0077120586713208,0.021605987892692285,2.1605987892692284,30.05561989986944
