spec,coef,t,se,N,fe
"(1) Pooled OLS, no FE",-0.0030962378822297796,-0.5404432952708974,0.005729070763432802,32085,none
(2) + county$\times$event FE,0.056126337612008796,12.375045738734363,0.004535444861939478,32085,cty
(3) + event$\times$month FE (preferred),0.0013121533490279315,0.3390044867712726,0.0038706076179848485,32085,twoway
(4) Controls = designated only,0.01639442483787269,2.9520076961174464,0.0055536524716500715,16965,twoway
(5) Helene only,-0.010723693353114582,-2.42855924372064,0.0044156605941741405,27000,twoway
(6) Ian only,0.07317728324900603,7.688728042345798,0.009517475822526291,5085,twoway
(7) + treated linear trend (detrended),-0.005302696055123422,-3.0147147324661745,0.0017589379180780976,32085,twoway
