estimand,actual,p_ri,perm_q025,perm_q975,pctile,nperm
Average DiD (Treat$\times$Post),0.0013121533490279315,0.764,-0.008935732256758453,0.007911877077063109,63.4,1000
Belief-split interaction,0.01950849590561311,0.023,-0.0177645254248343,0.01466553541655665,99.3,1000
