spec,coef,t,N,r2w
(1) Year FE,-0.02331409610301037,-4.559043262288815,8122,0.0029588405807583484
(2) +Firm FE,-0.026341428355060127,-4.984961467363589,8122,0.0024232649919186944
(3) +Controls,-0.02698396104551562,-5.009198820529381,7322,0.015114937730297151
(4) POST=2024,-0.03311906516640859,-6.167362854446438,7322,0.012413348350875486
(5) No COVID,-0.014839284206658265,-2.604001075869609,5970,-0.03390238515328803
