var,n,mean,sd,mean_ctrl,mean_treat,diff
invest_at,8222,0.07326766897450784,0.08052968490425665,0.0758958076320606,0.06973425757719924,-0.006161550054861353
capx_at,8222,0.030518829675016755,0.03396997822049322,0.03303192349499598,0.027140090763924065,-0.0058918327310719144
rd_at,8222,0.021215715854576142,0.04654495697373425,0.022422939601664155,0.01959265912018207,-0.0028302804814820844
aqc_at,8222,0.020440734699375095,0.050897084405645124,0.019600146218641444,0.021570867201986768,0.001970720983345324
total_vol,8122,0.3318402681093746,0.14808567666306513,0.28867097236517286,0.39068465291053395,0.10201368054536109
idio_vol,8122,0.2788426220023033,0.12622051340839033,0.2342239617394762,0.33966264624767567,0.10543868450819946
book_lev,8222,0.29270998492229916,0.2077551069468334,0.32217666160564024,0.2530933950842742,-0.06908326652136604
cash_at,8222,0.1208263356909699,0.13192905884778575,0.1153740862125991,0.12815663403443103,0.012782547821831927
ln_pay,8079,15.868522149059308,0.9426193590153068,16.389390844411807,15.15353234521861,-1.2358584991931973
equity_share,8069,0.5751595742070642,0.22528263370796225,0.6311907778902731,0.49821554773738724,-0.13297523015288587
size,8222,9.10899590853129,1.7634146909960764,10.197726634360805,7.645247584526112,-2.5524790498346928
mtb,7860,5.03456818454186,8.132651212978018,6.746056138688758,2.809183057156825,-3.9368730815319326
roa,8218,0.05308163743552765,0.07426849270607357,0.06801789738080156,0.03298759366211978,-0.035030303718681786
cflow,7781,0.11829968848574458,0.08850227489765573,0.13507221383242973,0.09563219578390843,-0.039440018048521305
tang,7818,0.22557707215472422,0.24115763864572004,0.24345348269225747,0.20134508330014086,-0.04210839939211661
