fyear,coef,t,se
2015,0.02514782033816003,2.671227586394768,0.00941433087403117
2016,0.03433497845735075,3.8165572415329962,0.008996322152254533
2017,0.026001372762438697,3.33882704234484,0.007787577024109065
2018,0.015183388799461484,1.9499373695014384,0.007786603322210079
2019,0.012880911319981425,1.761477527415871,0.007312560688116201
2020,0.10166720654562168,10.903065279337914,0.009324644395029743
2021,0.03231180353885475,5.566171937882249,0.005805031518869746
2022,0.0,,0.0
2023,0.01981660838982452,2.9289098723533824,0.006765864862172032
2024,0.006195946885202825,0.8242148518470221,0.007517392911954976
2025,-0.013251726970853025,-1.8599147886772454,0.007124910803186599
