outcome,label,coef,t,N
idio_vol,Idiosyncratic volatility,-0.02076191244576332,-2.366093441319005,2404
invest_at,Investment/Assets,0.013262459177218845,2.684644787916795,2415
capx_at,Capex/Assets,0.0026462415057800512,1.595866846183897,2415
rd_at,R\&D/Assets,0.003488526884491427,2.233311280148188,2415
aqc_at,Acquisitions/Assets,0.005539704152778406,1.3385458605157459,2415
book_lev,Book leverage,-0.014059292711201123,-1.378538562623838,2415
cash_at,Cash/Assets,0.014487273663508502,1.5182981647588354,2415
