spec,outcome,coef,t,N
"Preferred (firm+year FE, controls)",idio_vol,-0.02698396104551562,-5.009198820529381,7322
Two-way clustered SE,idio_vol,-0.02698396104551562,-1.9746201778795107,7322
POST=2024,idio_vol,-0.03311906516640859,-6.167362854446438,7322
Drop COVID 2020-21,idio_vol,-0.014839284206658265,-2.604001075869609,5970
Placebo: SP400 vs SP500,idio_vol,-0.017887229602567858,-3.589772396453214,6460
Alt treat: below-median size,idio_vol,-0.017768276138919053,-4.020826980597018,13535
