outcome,label,real,p_ri,perm_q025,perm_q975,nperm
idio_vol,Idiosyncratic volatility,-0.02698396104551562,0.0,-0.00903653447362768,0.009843233959168786,500
invest_at,Investment/Assets,0.002735458944877482,0.43,-0.006301598823689244,0.0059483559569537495,500
