moderator,outcome,label,did_low,t_low,did_int,t_int,N
High CEO equity-pay share,idio_vol,Idiosyncratic volatility,-0.01810929614988346,-3.3921103421991576,-0.0283736407702826,-2.4288786230208115,7247
High CEO equity-pay share,invest_at,Investment/Assets,0.003340754731381755,0.9373819161686496,-0.0012883486761249216,-0.19463298214142669,7280
High book leverage,idio_vol,Idiosyncratic volatility,-0.021658994572347698,-3.3952739923467714,-0.014167077185821195,-1.500236880689065,7322
High book leverage,invest_at,Investment/Assets,0.011674694906677463,3.0263906056396044,-0.02379641135957543,-4.356102119534164,7355
R\&D-active firm,idio_vol,Idiosyncratic volatility,-0.02836998309030392,-4.557460703337882,0.0040057483086769945,0.40505012823463676,7322
R\&D-active firm,invest_at,Investment/Assets,0.006582674109684845,1.9053645269770605,-0.011085910471148703,-1.7515805677748002,7355
Financial/regulated firm,idio_vol,Idiosyncratic volatility,-0.03558359185605112,-5.749463902015955,0.03226774159609827,3.39261549074011,7322
Financial/regulated firm,invest_at,Investment/Assets,0.0010243681785736271,0.24586395773948908,0.0064365399001173286,1.6263523983159036,7355
