date,mktrf,rf,mktret
2021-12-29,0.0007,0.0,0.0007
2021-12-30,-0.0017,0.0,-0.0017
2021-12-31,-0.0031,0.0,-0.0031
2022-01-03,0.0072,0.0,0.0072
2022-01-04,-0.0027,0.0,-0.0027
2022-01-05,-0.0226,0.0,-0.0226
2022-01-06,0.0,0.0,0.0
2022-01-07,-0.0049,0.0,-0.0049
2022-01-10,-0.0014,0.0,-0.0014
2022-01-11,0.0108,0.0,0.0108
2022-01-12,0.0013,0.0,0.0013
2022-01-13,-0.0155,0.0,-0.0155
2022-01-14,0.0008,0.0,0.0008
2022-01-18,-0.0206,0.0,-0.0206
2022-01-19,-0.0102,0.0,-0.0102
2022-01-20,-0.0115,0.0,-0.0115
2022-01-21,-0.0209,0.0,-0.0209
2022-01-24,0.0053,0.0,0.0053
2022-01-25,-0.0142,0.0,-0.0142
2022-01-26,-0.0029,0.0,-0.0029
2022-01-27,-0.0076,0.0,-0.0076
2022-01-28,0.0246,0.0,0.0246
2022-01-31,0.0232,0.0,0.0232
2022-02-01,0.0087,0.0,0.0087
2022-02-02,0.0051,0.0,0.0051
2022-02-03,-0.0248,0.0,-0.0248
2022-02-04,0.0089,0.0,0.0089
2022-02-07,-0.0024,0.0,-0.0024
2022-02-08,0.0102,0.0,0.0102
2022-02-09,0.016,0.0,0.016
2022-02-10,-0.0169,0.0,-0.0169
2022-02-11,-0.0191,0.0,-0.0191
2022-02-14,-0.0035,0.0,-0.0035
2022-02-15,0.0185,0.0,0.0185
2022-02-16,-0.0002,0.0,-0.0002
2022-02-17,-0.0229,0.0,-0.0229
2022-02-18,-0.0085,0.0,-0.0085
2022-02-22,-0.0117,0.0,-0.0117
2022-02-23,-0.0195,0.0,-0.0195
2022-02-24,0.0187,0.0,0.0187
2022-02-25,0.0224,0.0,0.0224
2022-02-28,0.0003,0.0,0.0003
2022-03-01,-0.0155,0.0,-0.0155
2022-03-02,0.0182,0.0,0.0182
2022-03-03,-0.0086,0.0,-0.0086
2022-03-04,-0.0109,0.0,-0.0109
2022-03-07,-0.0314,0.0,-0.0314
2022-03-08,-0.0053,0.0,-0.0053
2022-03-09,0.0279,0.0,0.0279
2022-03-10,-0.0047,0.0,-0.0047
2022-03-11,-0.0148,0.0,-0.0148
2022-03-14,-0.0104,0.0,-0.0104
