moderator,outcome,did_low,t_low,did_int,t_int,N
High Sept.\ volatility,rqs_bps_w,0.9285655748782138,3.5903108946588254,-0.31016395364919025,-0.871399730421861,5820
High Sept.\ volatility,dqs_c_w,5.596374343461806,3.943325322187489,-2.057535157567716,-1.0705619029197342,5820
High dollar volume,rqs_bps_w,1.0049577147838127,2.6325014749407813,-0.45733021558200526,-1.0587170138543955,5820
High dollar volume,dqs_c_w,6.083947556023611,2.58588529278211,-2.4040056307124944,-0.9454553711315768,5820
Nasdaq-listed,rqs_bps_w,0.8995467084188071,4.444819113564947,-0.22738453872527048,-0.6239039130417645,5820
Nasdaq-listed,dqs_c_w,4.398077578176387,3.658737044785489,0.2185431875524717,0.10827133269081306,5820
Financial industry,rqs_bps_w,0.728695296011448,3.7470667388092473,-0.07289887581875382,-0.21193169737385315,5820
Financial industry,dqs_c_w,4.514554384631676,4.261538648113594,-1.7560775872627632,-1.0753924136254782,5820
