spec,dv,coef,t,se,N,r2
"Dollar spread (cents), TWFE",dqs_c_w,4.448235883622585,4.378566874750262,1.0159113725712587,5820,0.8228621421266235
"Dollar spread (cents), +controls",dqs_c_w,4.359842968241577,4.571946423701658,0.9536076244549794,5820,0.8246675753515215
"Eff-spread proxy (bps), TWFE",espr_bps_w,0.60366108917429,1.5016026506547033,0.40201120377024635,5820,0.34598690621580985
"Eff-spread proxy (bps), +ctrl",espr_bps_w,0.7175638449872637,1.8164269482192623,0.39504140020094325,5820,0.34946627380644
