spec,coef,t,se,N,r2
"(1) 2x2, no FE",0.7326266638376955,4.221821230052688,0.17353332221235535,5820,0.00677996569910988
(2) + Stock FE,0.7393176560646161,4.190751436860673,0.17641648931067244,5820,0.5640440716305765
(3) TWFE,0.7365991118812694,4.159305299408061,0.1770966685196443,5820,0.5811561043857016
(4) TWFE + controls,0.731636691404051,4.178010867998381,0.17511603356708513,5820,0.5815234465649186
"(3d) TWFE, cluster stock+day",0.7365991118812694,2.9300331874120022,0.2513961667894561,5820,0.5811561043857016
