group,period,n,share_subpenny,share_at_1c,mean_dqs_c
Treated (tick-constrained),Pre,1484,0.0,0.8126684636118598,1.3342318059299256
Treated (tick-constrained),Post,1419,0.0,0.8907681465821,1.1916842847075444
Control (wide),Pre,1498,0.0,0.09479305740987984,29.977303070760968
Control (wide),Post,1419,0.0,0.20718816067653276,17.728682170542736
