evt_week,coef,se,t
-6,0.8783638107097259,0.2325187057837378,3.77760493612363
-5,0.8213689394908944,0.2549711933863912,3.2214185790242063
-4,0.5825513893445369,0.21631186265250277,2.693108839252079
-3,0.19485531020128852,0.2424372082732142,0.803735167506535
-2,0.17296232146872556,0.23040595484765067,0.7506851182865127
-1,0.0,0.0,
0,0.5428806488641152,0.23825282387975713,2.278590616571661
1,0.7356244407538297,0.25363228763043694,2.900358024707386
2,1.5978432028280007,0.27152472875653255,5.88470600871398
3,1.0294781339108567,0.271863178534978,3.786750892336837
4,1.4265451618123,0.28092198501190674,5.07808301921203
5,1.071323745403508,0.2198696837318652,4.872539620832882
6,1.3515349385911273,0.2833951396133343,4.769082985809736
