defn,coef,t,se,n_stocks,N
Baseline (all 150 stocks),0.731636691404051,4.178010867998381,0.17511603356708513,150,5820
Tighter treated screen (dqs\_scr $\le$ \$0.012),0.8203059341850285,4.583215974678927,0.1789804230734499,136,5281
Narrower control screen (dqs\_scr $\ge$ \$0.03),0.9161925654272376,4.435926067644915,0.20653918741113172,131,5082
Donut: drop names near \$0.015 cutoff,1.0031947670965466,4.788406267354007,0.2095049398661186,117,4543
Drop mega-caps (screen price $>$ \$500),0.3940552241424262,2.593729904336766,0.15192608277506395,133,5157
